,Unnamed: 0,exercise_label,right_elbow_angle,left_elbow_angle,right_shoulder_angle,left_shoulder_angle,right_hip_angle,left_hip_angle,right_knee_angle,left_knee_angle
0,0,Deadlift,"(3.075449756857392, 3.075517349074979, 3.07563642066597, 3.0756820509084277, 3.0756711964869172, 3.0756470399263183, 3.0756096475343897, 3.075511708941229, 3.075353066363644, 3.0751709494665764, 3.075063745222505, 3.074938208263701, 3.074736693045671, 3.0745292467303384, 3.0743268095900653, 3.074184556751515, 3.074100012163452, 3.074032183197905, 3.0739612978727906, 3.073847421237638, 3.0736756944077337, 3.0735132753518783, 3.0733696835928748, 3.0732961225623723, 3.073281972197705, 3.0733501905117975, 3.0734152972636193, 3.0734414674035584, 3.0735359382481864, 3.0736132254914508, 3.073740819165992, 3.0738546157712894, 3.0738416124505075, 3.0739645551606327, 3.074001175428405, 3.0739680226196926, 3.073961824173665, 3.0739090655771544, 3.073962929574181, 3.0742380317750504, 3.074755730919799, 3.0753327755346516, 3.0758387236402234, 3.0763010421156953, 3.0767469250532606, 3.0771104376605516, 3.0773669620460398, 3.0775966451372674, 3.077805892949817, 3.07797752610279)","(3.104502467691752, 3.1050315371844412, 3.1056855384303605, 3.1063624061198136, 3.1069957970588526, 3.1075945947832944, 3.1082761506786576, 3.1090800306431126, 3.1099689570301314, 3.1108872231238, 3.111842290390126, 3.112703504684352, 3.1135227571918733, 3.114332681626569, 3.1150942721944945, 3.1158167537039456, 3.1164561262540165, 3.117069040929263, 3.1177006067332997, 3.1183325343565076, 3.1189121985421924, 3.119425823728707, 3.1199809239952447, 3.120540075012383, 3.1211426127247854, 3.121773112506367, 3.1223985576558992, 3.123015451011904, 3.123709293122703, 3.1243416905395125, 3.1249946449815837, 3.1255433817796723, 3.126013505930696, 3.1264878653516033, 3.1268338633570543, 3.1273277534636326, 3.1278268226002797, 3.128105936286435, 3.1282493264477687, 3.128238113066764, 3.128216438014524, 3.1282451555548794, 3.1282462938410167, 3.1282831883591316, 3.1282648453168465, 3.128158847270224, 3.1281111449428662, 3.128158126333358, 3.1283458614904527, 3.128577146698143)","(0.19821086202570543, 0.1995483048540521, 0.20102952968855248, 0.20260254581181913, 0.20429580772221975, 0.20607155603674526, 0.20791120164570026, 0.2098422141891172, 0.21183555198891113, 0.21386195896644955, 0.21591457109488973, 0.21795650790891724, 0.2199820982238404, 0.22198123991351268, 0.22394583194137033, 0.22588124403732046, 0.22781278852001538, 0.2297569626522777, 0.23171780417037885, 0.2336859630340314, 0.23563975713092014, 0.23766440947022038, 0.23975785024671617, 0.24199775666875065, 0.2441723881485039, 0.24623768857652933, 0.24814220179132285, 0.2499517788537157, 0.2517767873100157, 0.25362189043480954, 0.2552997121591904, 0.2568251313960646, 0.25828316951067715, 0.2597720054581921, 0.2612533524766749, 0.2627439783954916, 0.2640323853721772, 0.2652510255047054, 0.26645978795922565, 0.26747031695598283, 0.268307727096562, 0.26899336659802353, 0.2695878072178426, 0.27010744686561333, 0.27055487007087325, 0.2709476900329708, 0.2711780560957599, 0.27120659987526663, 0.2711704885854144, 0.2710324672968545)","(0.32666533966248873, 0.32923213876444213, 0.33206853489045984, 0.3351330638491909, 0.33832742187790893, 0.3415594649750818, 0.3448684984248554, 0.3482384125399342, 0.3516282074550739, 0.35503289906869007, 0.35844067807154817, 0.3617259802742685, 0.36490011079265977, 0.36794191767529005, 0.37086292363901213, 0.37371374334082413, 0.37646987236772217, 0.37918488295078495, 0.3818066463419062, 0.3843991298515678, 0.3869309641262202, 0.38939124510451656, 0.39160882278173625, 0.39386982901072826, 0.39609439981697736, 0.39819751856129965, 0.4001184845731444, 0.40175412363254, 0.40331683768738535, 0.40469599452544464, 0.40585069944982033, 0.4066594589776411, 0.4069346179018903, 0.40698441733945245, 0.4065237709098265, 0.4059143762232376, 0.4049087715538131, 0.4036666592495165, 0.4023106277415954, 0.4007312935185731, 0.3989625435939991, 0.396982053080621, 0.39504208026309684, 0.39298828973046657, 0.3909003719058186, 0.3887354464141839, 0.38655106997435074, 0.3843071431410332, 0.38213679250911803, 0.37999405864771807)","(2.9801526034521877, 2.977717688126614, 2.974835723358791, 2.971618560807942, 2.9683424035077457, 2.9650127821500027, 2.9616353163042564, 2.9581651801997983, 2.9546224313990463, 2.9510331961367573, 2.947371849311874, 2.9436714594016045, 2.9399149556334256, 2.936175578365891, 2.9324337601079553, 2.928627362644195, 2.9247878815742006, 2.920917275695498, 2.9170261845033685, 2.9131192377880377, 2.9093693023982548, 2.9056035291759894, 2.9017388011442646, 2.8977468566333835, 2.8938823960821027, 2.8902600355016035, 2.886805993403952, 2.883459353885734, 2.880082865577115, 2.8768027625633774, 2.8737661114033783, 2.871219960915656, 2.869078523085457, 2.867045895176376, 2.865152665394474, 2.86332392674652, 2.861748907009617, 2.8601830693113093, 2.858521867361377, 2.8569775355341953, 2.855535345686037, 2.8541801719019175, 2.853049506368603, 2.852178020955902, 2.851556268317676, 2.8511234174962117, 2.8511655679418215, 2.851992022117629, 2.8529949845926494, 2.854299793714435)","(2.700373538825742, 2.6947843471728907, 2.688990141783882, 2.682881661427263, 2.676678841653372, 2.6704714446003965, 2.664280489075252, 2.658221743636785, 2.6522969953480233, 2.646470861504752, 2.640676744767165, 2.6350744502799226, 2.629755671160212, 2.6247213452826013, 2.6199747052595534, 2.6154135833006587, 2.611115604622876, 2.60703827662527, 2.6032199476868425, 2.5995981583485546, 2.596193725907475, 2.5930715205432127, 2.5904147460938507, 2.587826555835405, 2.5853645681374724, 2.582996875008418, 2.58079477030212, 2.578856613080449, 2.577055037506998, 2.5755004163860384, 2.574124609983333, 2.5730376794599286, 2.572528733427557, 2.572500617286293, 2.5732664869591044, 2.5743912267447544, 2.575852461735641, 2.577570078822467, 2.5795317023301108, 2.5818935328587838, 2.584581109532419, 2.587802863171924, 2.5913085594251344, 2.5950284616618915, 2.5990110349241053, 2.6033271836513223, 2.6079033745529814, 2.6125723741954134, 2.617248704961119, 2.622104864326513)","(3.034665191197198, 3.0324575081100686, 3.0297262889628733, 3.0264820075237906, 3.023353210900825, 3.0203331295311724, 3.017445576865053, 3.014649256004517, 3.0118971044770713, 3.0092482129773934, 3.0066124171266275, 3.0039281066214065, 3.001162658492969, 2.998472384539611, 2.9958117288360926, 2.99308156445064, 2.9903470663128555, 2.987608737161949, 2.9848360499347373, 2.9820536125438983, 2.979456001762442, 2.976930162094946, 2.974423658273596, 2.9719552587628346, 2.969673143035748, 2.9677800045123517, 2.9659866292111725, 2.964289217101992, 2.9627269073503575, 2.9614170488082787, 2.960310515900085, 2.9595650848145345, 2.9591245914000424, 2.9588954511193597, 2.9587111473000474, 2.9584996340877945, 2.958376767372075, 2.9580799160495266, 2.9577406170759177, 2.9573746291400798, 2.9570492128832937, 2.9568235853993565, 2.956771287069945, 2.9569215932520776, 2.9572695211083104, 2.9577526077942005, 2.958610904932173, 2.9603904788749635, 2.9623174995494534, 2.9644590256262484)","(2.9682300340278003, 2.965100256304328, 2.96201695967637, 2.9587476629880456, 2.9554167503912883, 2.9521468606060446, 2.9488651130070975, 2.94566614058193, 2.9424648228144274, 2.9392333538487283, 2.936043636892643, 2.932898903257044, 2.929877161402864, 2.9270055165963718, 2.9242812473135285, 2.921709758045611, 2.9193876287430753, 2.9172643029401453, 2.9152681852796722, 2.913483107372151, 2.9119042162961795, 2.910534499687001, 2.9092909603561425, 2.9080579698574036, 2.9068327996114363, 2.90552467552781, 2.9041521959671948, 2.9027291573312586, 2.901321575495547, 2.8999831254130335, 2.898588987874814, 2.89715797792643, 2.895763097371434, 2.8947164583412404, 2.894193876360619, 2.8939199522230403, 2.893573715414892, 2.8934043641152125, 2.8935413142111877, 2.893996489088837, 2.8946175832896723, 2.8956383284538294, 2.8969704271393573, 2.898371531045223, 2.8999422932115086, 2.9018111201196994, 2.9038600945056707, 2.9060193010040853, 2.9082975493075103, 2.9109273857700844)"
1,1,Deadlift,"(3.075063745222505, 3.074938208263701, 3.074736693045671, 3.0745292467303384, 3.0743268095900653, 3.074184556751515, 3.074100012163452, 3.074032183197905, 3.0739612978727906, 3.073847421237638, 3.0736756944077337, 3.0735132753518783, 3.0733696835928748, 3.0732961225623723, 3.073281972197705, 3.0733501905117975, 3.0734152972636193, 3.0734414674035584, 3.0735359382481864, 3.0736132254914508, 3.073740819165992, 3.0738546157712894, 3.0738416124505075, 3.0739645551606327, 3.074001175428405, 3.0739680226196926, 3.073961824173665, 3.0739090655771544, 3.073962929574181, 3.0742380317750504, 3.074755730919799, 3.0753327755346516, 3.0758387236402234, 3.0763010421156953, 3.0767469250532606, 3.0771104376605516, 3.0773669620460398, 3.0775966451372674, 3.077805892949817, 3.07797752610279, 3.0782006116063862, 3.078476551076998, 3.078872893602549, 3.0792855265079964, 3.0797483683032802, 3.0802796475555425, 3.080846358209679, 3.0814367544054773, 3.082164267617172, 3.083206862981654)","(3.111842290390126, 3.112703504684352, 3.1135227571918733, 3.114332681626569, 3.1150942721944945, 3.1158167537039456, 3.1164561262540165, 3.117069040929263, 3.1177006067332997, 3.1183325343565076, 3.1189121985421924, 3.119425823728707, 3.1199809239952447, 3.120540075012383, 3.1211426127247854, 3.121773112506367, 3.1223985576558992, 3.123015451011904, 3.123709293122703, 3.1243416905395125, 3.1249946449815837, 3.1255433817796723, 3.126013505930696, 3.1264878653516033, 3.1268338633570543, 3.1273277534636326, 3.1278268226002797, 3.128105936286435, 3.1282493264477687, 3.128238113066764, 3.128216438014524, 3.1282451555548794, 3.1282462938410167, 3.1282831883591316, 3.1282648453168465, 3.128158847270224, 3.1281111449428662, 3.128158126333358, 3.1283458614904527, 3.128577146698143, 3.1289095133408193, 3.1291908941004327, 3.12926131492928, 3.1292042265506934, 3.1289895548995355, 3.128687923012375, 3.1282742696738604, 3.1277916265343775, 3.1272399306868053, 3.1266973531474482)","(0.21591457109488973, 0.21795650790891724, 0.2199820982238404, 0.22198123991351268, 0.22394583194137033, 0.22588124403732046, 0.22781278852001538, 0.2297569626522777, 0.23171780417037885, 0.2336859630340314, 0.23563975713092014, 0.23766440947022038, 0.23975785024671617, 0.24199775666875065, 0.2441723881485039, 0.24623768857652933, 0.24814220179132285, 0.2499517788537157, 0.2517767873100157, 0.25362189043480954, 0.2552997121591904, 0.2568251313960646, 0.25828316951067715, 0.2597720054581921, 0.2612533524766749, 0.2627439783954916, 0.2640323853721772, 0.2652510255047054, 0.26645978795922565, 0.26747031695598283, 0.268307727096562, 0.26899336659802353, 0.2695878072178426, 0.27010744686561333, 0.27055487007087325, 0.2709476900329708, 0.2711780560957599, 0.27120659987526663, 0.2711704885854144, 0.2710324672968545, 0.27077503731170866, 0.2704964642611271, 0.2700739812120642, 0.2695531108645231, 0.26886177466740274, 0.2680740620419277, 0.2671542315297569, 0.26614054870953463, 0.2650144374914185, 0.2636895257253862)","(0.35844067807154817, 0.3617259802742685, 0.36490011079265977, 0.36794191767529005, 0.37086292363901213, 0.37371374334082413, 0.37646987236772217, 0.37918488295078495, 0.3818066463419062, 0.3843991298515678, 0.3869309641262202, 0.38939124510451656, 0.39160882278173625, 0.39386982901072826, 0.39609439981697736, 0.39819751856129965, 0.4001184845731444, 0.40175412363254, 0.40331683768738535, 0.40469599452544464, 0.40585069944982033, 0.4066594589776411, 0.4069346179018903, 0.40698441733945245, 0.4065237709098265, 0.4059143762232376, 0.4049087715538131, 0.4036666592495165, 0.4023106277415954, 0.4007312935185731, 0.3989625435939991, 0.396982053080621, 0.39504208026309684, 0.39298828973046657, 0.3909003719058186, 0.3887354464141839, 0.38655106997435074, 0.3843071431410332, 0.38213679250911803, 0.37999405864771807, 0.37780241998196257, 0.3755843217362437, 0.3730831310614992, 0.3705099133266377, 0.367687379597985, 0.3646901644920976, 0.3615743758737433, 0.3582393442134143, 0.3549858234898938, 0.35193954568338803)","(2.947371849311874, 2.9436714594016045, 2.9399149556334256, 2.936175578365891, 2.9324337601079553, 2.928627362644195, 2.9247878815742006, 2.920917275695498, 2.9170261845033685, 2.9131192377880377, 2.9093693023982548, 2.9056035291759894, 2.9017388011442646, 2.8977468566333835, 2.8938823960821027, 2.8902600355016035, 2.886805993403952, 2.883459353885734, 2.880082865577115, 2.8768027625633774, 2.8737661114033783, 2.871219960915656, 2.869078523085457, 2.867045895176376, 2.865152665394474, 2.86332392674652, 2.861748907009617, 2.8601830693113093, 2.858521867361377, 2.8569775355341953, 2.855535345686037, 2.8541801719019175, 2.853049506368603, 2.852178020955902, 2.851556268317676, 2.8511234174962117, 2.8511655679418215, 2.851992022117629, 2.8529949845926494, 2.854299793714435, 2.8557023934283787, 2.857027001588949, 2.8583599396666033, 2.859874509666268, 2.8612580170615445, 2.862736359893753, 2.864403527405645, 2.8661835935264497, 2.8682372879400755, 2.870594817273277)","(2.640676744767165, 2.6350744502799226, 2.629755671160212, 2.6247213452826013, 2.6199747052595534, 2.6154135833006587, 2.611115604622876, 2.60703827662527, 2.6032199476868425, 2.5995981583485546, 2.596193725907475, 2.5930715205432127, 2.5904147460938507, 2.587826555835405, 2.5853645681374724, 2.582996875008418, 2.58079477030212, 2.578856613080449, 2.577055037506998, 2.5755004163860384, 2.574124609983333, 2.5730376794599286, 2.572528733427557, 2.572500617286293, 2.5732664869591044, 2.5743912267447544, 2.575852461735641, 2.577570078822467, 2.5795317023301108, 2.5818935328587838, 2.584581109532419, 2.587802863171924, 2.5913085594251344, 2.5950284616618915, 2.5990110349241053, 2.6033271836513223, 2.6079033745529814, 2.6125723741954134, 2.617248704961119, 2.622104864326513, 2.6271265729598055, 2.6323863762771396, 2.637931901218196, 2.6435491864188148, 2.6493237201992663, 2.6552539736668868, 2.6613038397917586, 2.667699841988534, 2.6742280614771525, 2.680710772379342)","(3.0066124171266275, 3.0039281066214065, 3.001162658492969, 2.998472384539611, 2.9958117288360926, 2.99308156445064, 2.9903470663128555, 2.987608737161949, 2.9848360499347373, 2.9820536125438983, 2.979456001762442, 2.976930162094946, 2.974423658273596, 2.9719552587628346, 2.969673143035748, 2.9677800045123517, 2.9659866292111725, 2.964289217101992, 2.9627269073503575, 2.9614170488082787, 2.960310515900085, 2.9595650848145345, 2.9591245914000424, 2.9588954511193597, 2.9587111473000474, 2.9584996340877945, 2.958376767372075, 2.9580799160495266, 2.9577406170759177, 2.9573746291400798, 2.9570492128832937, 2.9568235853993565, 2.956771287069945, 2.9569215932520776, 2.9572695211083104, 2.9577526077942005, 2.958610904932173, 2.9603904788749635, 2.9623174995494534, 2.9644590256262484, 2.966696686447354, 2.9686927024725986, 2.9705361328453237, 2.972593418560287, 2.97417161782202, 2.975707312682381, 2.977158413281565, 2.978465681222829, 2.9800318514095934, 2.9820240644024527)","(2.936043636892643, 2.932898903257044, 2.929877161402864, 2.9270055165963718, 2.9242812473135285, 2.921709758045611, 2.9193876287430753, 2.9172643029401453, 2.9152681852796722, 2.913483107372151, 2.9119042162961795, 2.910534499687001, 2.9092909603561425, 2.9080579698574036, 2.9068327996114363, 2.90552467552781, 2.9041521959671948, 2.9027291573312586, 2.901321575495547, 2.8999831254130335, 2.898588987874814, 2.89715797792643, 2.895763097371434, 2.8947164583412404, 2.894193876360619, 2.8939199522230403, 2.893573715414892, 2.8934043641152125, 2.8935413142111877, 2.893996489088837, 2.8946175832896723, 2.8956383284538294, 2.8969704271393573, 2.898371531045223, 2.8999422932115086, 2.9018111201196994, 2.9038600945056707, 2.9060193010040853, 2.9082975493075103, 2.9109273857700844, 2.913845670288134, 2.9170254649913576, 2.9203369251068447, 2.923755970621235, 2.9271894429818746, 2.930584796572167, 2.9339528682225473, 2.937386468098886, 2.94095756515079, 2.944556387265757)"
2,2,Deadlift,"(3.0736756944077337, 3.0735132753518783, 3.0733696835928748, 3.0732961225623723, 3.073281972197705, 3.0733501905117975, 3.0734152972636193, 3.0734414674035584, 3.0735359382481864, 3.0736132254914508, 3.073740819165992, 3.0738546157712894, 3.0738416124505075, 3.0739645551606327, 3.074001175428405, 3.0739680226196926, 3.073961824173665, 3.0739090655771544, 3.073962929574181, 3.0742380317750504, 3.074755730919799, 3.0753327755346516, 3.0758387236402234, 3.0763010421156953, 3.0767469250532606, 3.0771104376605516, 3.0773669620460398, 3.0775966451372674, 3.077805892949817, 3.07797752610279, 3.0782006116063862, 3.078476551076998, 3.078872893602549, 3.0792855265079964, 3.0797483683032802, 3.0802796475555425, 3.080846358209679, 3.0814367544054773, 3.082164267617172, 3.083206862981654, 3.0842520492229495, 3.0855262613894134, 3.0867692882481803, 3.087956573685505, 3.0889964778342, 3.0900018513890934, 3.0909941427388037, 3.092073064187235, 3.093249226395105, 3.0945392158247182)","(3.1189121985421924, 3.119425823728707, 3.1199809239952447, 3.120540075012383, 3.1211426127247854, 3.121773112506367, 3.1223985576558992, 3.123015451011904, 3.123709293122703, 3.1243416905395125, 3.1249946449815837, 3.1255433817796723, 3.126013505930696, 3.1264878653516033, 3.1268338633570543, 3.1273277534636326, 3.1278268226002797, 3.128105936286435, 3.1282493264477687, 3.128238113066764, 3.128216438014524, 3.1282451555548794, 3.1282462938410167, 3.1282831883591316, 3.1282648453168465, 3.128158847270224, 3.1281111449428662, 3.128158126333358, 3.1283458614904527, 3.128577146698143, 3.1289095133408193, 3.1291908941004327, 3.12926131492928, 3.1292042265506934, 3.1289895548995355, 3.128687923012375, 3.1282742696738604, 3.1277916265343775, 3.1272399306868053, 3.1266973531474482, 3.1262715680251945, 3.1259127271902094, 3.1255975987470768, 3.125482946667367, 3.1254016069589152, 3.1254110219712894, 3.125525629439912, 3.1256741712772205, 3.1258409671754186, 3.125953957830606)","(0.23563975713092014, 0.23766440947022038, 0.23975785024671617, 0.24199775666875065, 0.2441723881485039, 0.24623768857652933, 0.24814220179132285, 0.2499517788537157, 0.2517767873100157, 0.25362189043480954, 0.2552997121591904, 0.2568251313960646, 0.25828316951067715, 0.2597720054581921, 0.2612533524766749, 0.2627439783954916, 0.2640323853721772, 0.2652510255047054, 0.26645978795922565, 0.26747031695598283, 0.268307727096562, 0.26899336659802353, 0.2695878072178426, 0.27010744686561333, 0.27055487007087325, 0.2709476900329708, 0.2711780560957599, 0.27120659987526663, 0.2711704885854144, 0.2710324672968545, 0.27077503731170866, 0.2704964642611271, 0.2700739812120642, 0.2695531108645231, 0.26886177466740274, 0.2680740620419277, 0.2671542315297569, 0.26614054870953463, 0.2650144374914185, 0.2636895257253862, 0.26239724282137805, 0.2609854748373628, 0.2596234749289192, 0.258311590777598, 0.25710136143738505, 0.25591063100477573, 0.2547389864036198, 0.25355471438704535, 0.2522917605200748, 0.2508958478344978)","(0.3869309641262202, 0.38939124510451656, 0.39160882278173625, 0.39386982901072826, 0.39609439981697736, 0.39819751856129965, 0.4001184845731444, 0.40175412363254, 0.40331683768738535, 0.40469599452544464, 0.40585069944982033, 0.4066594589776411, 0.4069346179018903, 0.40698441733945245, 0.4065237709098265, 0.4059143762232376, 0.4049087715538131, 0.4036666592495165, 0.4023106277415954, 0.4007312935185731, 0.3989625435939991, 0.396982053080621, 0.39504208026309684, 0.39298828973046657, 0.3909003719058186, 0.3887354464141839, 0.38655106997435074, 0.3843071431410332, 0.38213679250911803, 0.37999405864771807, 0.37780241998196257, 0.3755843217362437, 0.3730831310614992, 0.3705099133266377, 0.367687379597985, 0.3646901644920976, 0.3615743758737433, 0.3582393442134143, 0.3549858234898938, 0.35193954568338803, 0.3490923144131075, 0.34621439775181784, 0.34347565289041554, 0.34078551101011495, 0.3381036125338787, 0.3354388242325424, 0.33278677012042457, 0.33012556862750114, 0.3274540257970768, 0.32478151717428083)","(2.9093693023982548, 2.9056035291759894, 2.9017388011442646, 2.8977468566333835, 2.8938823960821027, 2.8902600355016035, 2.886805993403952, 2.883459353885734, 2.880082865577115, 2.8768027625633774, 2.8737661114033783, 2.871219960915656, 2.869078523085457, 2.867045895176376, 2.865152665394474, 2.86332392674652, 2.861748907009617, 2.8601830693113093, 2.858521867361377, 2.8569775355341953, 2.855535345686037, 2.8541801719019175, 2.853049506368603, 2.852178020955902, 2.851556268317676, 2.8511234174962117, 2.8511655679418215, 2.851992022117629, 2.8529949845926494, 2.854299793714435, 2.8557023934283787, 2.857027001588949, 2.8583599396666033, 2.859874509666268, 2.8612580170615445, 2.862736359893753, 2.864403527405645, 2.8661835935264497, 2.8682372879400755, 2.870594817273277, 2.8733680127907477, 2.8764128741433863, 2.8798242052299527, 2.883153748022779, 2.8863904299363843, 2.889589806369927, 2.8919088581503423, 2.894015509648972, 2.8961295923460195, 2.8989298945096484)","(2.596193725907475, 2.5930715205432127, 2.5904147460938507, 2.587826555835405, 2.5853645681374724, 2.582996875008418, 2.58079477030212, 2.578856613080449, 2.577055037506998, 2.5755004163860384, 2.574124609983333, 2.5730376794599286, 2.572528733427557, 2.572500617286293, 2.5732664869591044, 2.5743912267447544, 2.575852461735641, 2.577570078822467, 2.5795317023301108, 2.5818935328587838, 2.584581109532419, 2.587802863171924, 2.5913085594251344, 2.5950284616618915, 2.5990110349241053, 2.6033271836513223, 2.6079033745529814, 2.6125723741954134, 2.617248704961119, 2.622104864326513, 2.6271265729598055, 2.6323863762771396, 2.637931901218196, 2.6435491864188148, 2.6493237201992663, 2.6552539736668868, 2.6613038397917586, 2.667699841988534, 2.6742280614771525, 2.680710772379342, 2.687202753922772, 2.694132759481706, 2.701150961434778, 2.7081761814776892, 2.715158527083087, 2.7222197767233016, 2.729290879202527, 2.736324597501408, 2.743305326747091, 2.7502034984227146)","(2.979456001762442, 2.976930162094946, 2.974423658273596, 2.9719552587628346, 2.969673143035748, 2.9677800045123517, 2.9659866292111725, 2.964289217101992, 2.9627269073503575, 2.9614170488082787, 2.960310515900085, 2.9595650848145345, 2.9591245914000424, 2.9588954511193597, 2.9587111473000474, 2.9584996340877945, 2.958376767372075, 2.9580799160495266, 2.9577406170759177, 2.9573746291400798, 2.9570492128832937, 2.9568235853993565, 2.956771287069945, 2.9569215932520776, 2.9572695211083104, 2.9577526077942005, 2.958610904932173, 2.9603904788749635, 2.9623174995494534, 2.9644590256262484, 2.966696686447354, 2.9686927024725986, 2.9705361328453237, 2.972593418560287, 2.97417161782202, 2.975707312682381, 2.977158413281565, 2.978465681222829, 2.9800318514095934, 2.9820240644024527, 2.984409746220276, 2.987071761455697, 2.990039586231527, 2.992993053332665, 2.99579011191031, 2.9984914833993854, 3.00000717127863, 3.001267772474499, 3.002457510979571, 3.0045044840367665)","(2.9119042162961795, 2.910534499687001, 2.9092909603561425, 2.9080579698574036, 2.9068327996114363, 2.90552467552781, 2.9041521959671948, 2.9027291573312586, 2.901321575495547, 2.8999831254130335, 2.898588987874814, 2.89715797792643, 2.895763097371434, 2.8947164583412404, 2.894193876360619, 2.8939199522230403, 2.893573715414892, 2.8934043641152125, 2.8935413142111877, 2.893996489088837, 2.8946175832896723, 2.8956383284538294, 2.8969704271393573, 2.898371531045223, 2.8999422932115086, 2.9018111201196994, 2.9038600945056707, 2.9060193010040853, 2.9082975493075103, 2.9109273857700844, 2.913845670288134, 2.9170254649913576, 2.9203369251068447, 2.923755970621235, 2.9271894429818746, 2.930584796572167, 2.9339528682225473, 2.937386468098886, 2.94095756515079, 2.944556387265757, 2.9480692056110884, 2.9517567364343504, 2.9555317741660088, 2.9591285956345508, 2.962576978703907, 2.965887680683882, 2.9688949154935003, 2.9716555960674578, 2.9743618948362003, 2.9772123322877464)"
