,exercise_label,right_elbow_angle,left_elbow_angle,right_shoulder_angle,left_shoulder_angle,right_hip_angle,left_hip_angle,right_knee_angle,left_knee_angle
0,Push-up,"(2.260949443058697, 2.2727884085774543, 2.283680863415754, 2.2920946714932824, 2.2988354288822768, 2.303517840923226, 2.305606071201589, 2.3047238720041214, 2.3008411072741803, 2.293344614886633, 2.282168835325396, 2.26810687239662, 2.251935924607757, 2.2339458837086275, 2.213705338489537, 2.191508727552533, 2.167564040727375, 2.142959956925908, 2.117022640044351, 2.0909090349129493, 2.063884856395888, 2.0354530327608487, 2.006127428708187, 1.9763281108892115, 1.9479513335274787, 1.9200356491678054, 1.893339983077389, 1.8678215332533736, 1.8448492176349018, 1.8277394024308644, 1.8147899228723763, 1.8066197810189755, 1.804212425476497, 1.8056600909507923, 1.8119214114925184, 1.8234957812126211, 1.8387157512027152, 1.8578406354116606, 1.8784673987065634, 1.9005419650800348, 1.924604660373855, 1.951543927430094, 1.9797027792788533, 2.0090921178510532, 2.0390586476798855, 2.0694816706854384, 2.0990090900872684, 2.127022672813747, 2.1524825960532015, 2.17576350959464)","(2.2803021558796486, 2.294674622656144, 2.3073240056849023, 2.3171243670123127, 2.32412073831817, 2.328657819778843, 2.3304058732446826, 2.3287543114321316, 2.3242777342672527, 2.315872714791179, 2.303654559433493, 2.2878536280043797, 2.2697692663784443, 2.2502303968692607, 2.2301273470436698, 2.2089226670556283, 2.1870137162455086, 2.1639816154291553, 2.140667900458093, 2.1168485151365966, 2.092745004236472, 2.068884443215152, 2.045292001990078, 2.0227481564834258, 2.001521967782666, 1.9816573316322366, 1.9631220714893423, 1.9463021018823818, 1.9312189110427984, 1.9205568007391363, 1.9136652926650615, 1.9119771196517004, 1.913637696219432, 1.9174735285903508, 1.9234151430867934, 1.9316953644234534, 1.9434445851957958, 1.956970021041506, 1.9725133447441647, 1.9897962272367142, 2.0095167716666467, 2.031401925069372, 2.0553506938665973, 2.0811059396909486, 2.1076042334715215, 2.1343967817168443, 2.1608581978928214, 2.1869500674551774, 2.2104825978856963, 2.232267353025295)","(0.6394943774348326, 0.6444773173636247, 0.6492067140104543, 0.6525623218970513, 0.6552088877061758, 0.6569050113819854, 0.6572796992822975, 0.6561435061180498, 0.6534969512357116, 0.6489418570487209, 0.6424063007814262, 0.6337246541634047, 0.6231421642985023, 0.6108601726286533, 0.5982270181115474, 0.5859057228236382, 0.5750115430609908, 0.5645490199078147, 0.55494655424855, 0.5457936616427277, 0.5376267294340488, 0.530684355577098, 0.5248939586904879, 0.5214763762822454, 0.5190167812337753, 0.518016276609246, 0.5180226585241721, 0.5185875867501611, 0.519103626862645, 0.5155950011272717, 0.5124724662814851, 0.5103585388727878, 0.5095512425936494, 0.5097912576571799, 0.5111633704931976, 0.5142851858668989, 0.5190700551498185, 0.5246809285778209, 0.5301270611803652, 0.5350301054729222, 0.5397915121536595, 0.5427278700538726, 0.5458643715516144, 0.5487097763068937, 0.5514129342500336, 0.5541396850207433, 0.5576868522440053, 0.5630673526529825, 0.5717882029479915, 0.5817774428169524)","(0.5573202057694522, 0.565635967773429, 0.5730966254726317, 0.57866704359864, 0.5822669918310123, 0.5843034070464944, 0.5848229806945427, 0.5835882059513772, 0.5806022969137337, 0.5751178772211588, 0.5671474046880242, 0.5560965270482245, 0.5431598092934768, 0.5292849095204869, 0.5153911233812911, 0.5016794037343425, 0.4882520109582106, 0.47569386123613727, 0.46333537139632364, 0.45123849904501256, 0.4396397522606268, 0.4286917086610399, 0.4181757808166211, 0.40838931705304216, 0.3998446326658175, 0.3928119489395819, 0.38671616130157876, 0.38142596951799607, 0.37651680305491747, 0.3718309217155375, 0.3676217961840159, 0.3661832091498034, 0.3671897725764345, 0.3684012216547924, 0.37023089407799914, 0.3727182481495309, 0.37606436659529835, 0.3806878264325247, 0.38643363470041125, 0.3927185113245179, 0.39952303539578277, 0.4068024421510248, 0.41509341522262777, 0.4237364335094215, 0.43288664847997105, 0.44206173744693233, 0.4519611241182182, 0.46196723999229355, 0.47310980208786607, 0.48515084216066917)","(2.988632959853359, 2.9882798666351857, 2.9883135280251696, 2.988778278404743, 2.9894178191535143, 2.9901634023900803, 2.991352282090987, 2.9927568191653435, 2.9945111491822147, 2.9972101856582882, 3.0000399236292776, 3.002254787916355, 3.004403619526939, 3.0065025278422937, 3.0089614588016578, 3.012003853187084, 3.01492471401957, 3.0181532481428173, 3.021321577395798, 3.024565662883541, 3.028398121593282, 3.031835547597, 3.035223619277357, 3.0386478059252693, 3.0419563433768197, 3.043857981333892, 3.045398890005883, 3.046363074706661, 3.046862099760563, 3.047145776979563, 3.046694813207784, 3.0465274324003255, 3.0467548702074376, 3.0472295427931617, 3.047761562060215, 3.048306130642751, 3.048568350615996, 3.048146486258856, 3.047602105601657, 3.046825987220618, 3.0459776122414683, 3.0453077934896187, 3.043555454230184, 3.041106045275854, 3.0383102475005956, 3.0357948159557084, 3.0334395275764265, 3.0315416020469237, 3.0293487446806604, 3.027455214240187)","(2.960473512776902, 2.9580186814820704, 2.956539700029607, 2.9562073789433403, 2.956744460633382, 2.957470443751369, 2.9582298439777848, 2.959666079069079, 2.961394371193341, 2.964027987158502, 2.967470088077738, 2.9718537287978717, 2.9753943516100203, 2.9784349656321396, 2.9824360396400573, 2.987521542560654, 2.9929989215633226, 2.99814979497835, 3.003227595687612, 3.007841561983869, 3.012367384216635, 3.0152922915021123, 3.0174778866243908, 3.0190376250809514, 3.0198563194480132, 3.020493027862765, 3.0208048410462904, 3.021601149461984, 3.02249516552084, 3.0242273754103026, 3.02534056433676, 3.0247546364710276, 3.0242173802596235, 3.023928522443205, 3.0223887565044127, 3.021094379898558, 3.0209004503987797, 3.020596453633131, 3.020278180725976, 3.019236633368097, 3.018295305307048, 3.0170449857862582, 3.01566099455086, 3.0141371888936246, 3.0124401183338856, 3.011142950063094, 3.00955954060945, 3.0080477896423137, 3.0056045880282545, 3.0036358325603136)","(2.561803845296898, 2.5620056947252077, 2.5631775731792183, 2.5645903251575533, 2.566115992116566, 2.5674277254305284, 2.5694579811595286, 2.5724298586040137, 2.5755323861216084, 2.5795063249470167, 2.583860502945637, 2.5883870119822023, 2.593121431347439, 2.5980026095177835, 2.602138357891789, 2.605783038503635, 2.6091204619743107, 2.611556795656008, 2.613492470593428, 2.6143959511563915, 2.6148089163837924, 2.614617979835776, 2.613559529556149, 2.612180785493008, 2.610170285732422, 2.6078731070850427, 2.6048868515762864, 2.6011036076103475, 2.597102828465274, 2.5928194791154837, 2.5880787320907794, 2.5828880073122993, 2.5774962977009577, 2.5722690133189103, 2.5683254339012493, 2.565918873658765, 2.5632694932803965, 2.561356074634182, 2.5604744324852375, 2.560288814859183, 2.5610030997554634, 2.561225717394446, 2.5608438285532635, 2.5600897734871406, 2.5593654657182814, 2.5589343782383085, 2.5590825963128556, 2.559873862042231, 2.5602843824211465, 2.5612415005061018)","(2.535768144463394, 2.5354288268133347, 2.5358521092464392, 2.5366315206179078, 2.53728553593176, 2.5371209934903667, 2.536270600345055, 2.536225828626117, 2.5358248327898245, 2.5360145444344395, 2.536072276335822, 2.537587414527009, 2.5394424604510824, 2.5428485469885582, 2.544022614237934, 2.54406780124501, 2.543020319607521, 2.5420514714381035, 2.5408425739560276, 2.539476663810258, 2.538279248510313, 2.5359602802253507, 2.533161619195906, 2.5301052935647443, 2.526528539479262, 2.5225037831149675, 2.518440670750237, 2.515368512273358, 2.512740492920548, 2.51016847125818, 2.5074066457364386, 2.5040702317325, 2.5009614987485467, 2.498839048371674, 2.4988650684878335, 2.4992032602044714, 2.4991306553636936, 2.4994354225974154, 2.5002310308714635, 2.5002771114051874, 2.50076386204514, 2.5005563731621283, 2.5005891984042594, 2.5004603472034868, 2.500906019377253, 2.5017972756214664, 2.5030508842185752, 2.503758036629545, 2.5048785635821242, 2.506552043119572)"
1,Push-up,"(2.282168835325396, 2.26810687239662, 2.251935924607757, 2.2339458837086275, 2.213705338489537, 2.191508727552533, 2.167564040727375, 2.142959956925908, 2.117022640044351, 2.0909090349129493, 2.063884856395888, 2.0354530327608487, 2.006127428708187, 1.9763281108892115, 1.9479513335274787, 1.9200356491678054, 1.893339983077389, 1.8678215332533736, 1.8448492176349018, 1.8277394024308644, 1.8147899228723763, 1.8066197810189755, 1.804212425476497, 1.8056600909507923, 1.8119214114925184, 1.8234957812126211, 1.8387157512027152, 1.8578406354116606, 1.8784673987065634, 1.9005419650800348, 1.924604660373855, 1.951543927430094, 1.9797027792788533, 2.0090921178510532, 2.0390586476798855, 2.0694816706854384, 2.0990090900872684, 2.127022672813747, 2.1524825960532015, 2.17576350959464, 2.196518269696573, 2.215849937703589, 2.23518364313333, 2.2513852939261727, 2.263408994850963, 2.271769813065628, 2.275549993034918, 2.2764221226624053, 2.2735994435228886, 2.267990722443477)","(2.303654559433493, 2.2878536280043797, 2.2697692663784443, 2.2502303968692607, 2.2301273470436698, 2.2089226670556283, 2.1870137162455086, 2.1639816154291553, 2.140667900458093, 2.1168485151365966, 2.092745004236472, 2.068884443215152, 2.045292001990078, 2.0227481564834258, 2.001521967782666, 1.9816573316322366, 1.9631220714893423, 1.9463021018823818, 1.9312189110427984, 1.9205568007391363, 1.9136652926650615, 1.9119771196517004, 1.913637696219432, 1.9174735285903508, 1.9234151430867934, 1.9316953644234534, 1.9434445851957958, 1.956970021041506, 1.9725133447441647, 1.9897962272367142, 2.0095167716666467, 2.031401925069372, 2.0553506938665973, 2.0811059396909486, 2.1076042334715215, 2.1343967817168443, 2.1608581978928214, 2.1869500674551774, 2.2104825978856963, 2.232267353025295, 2.2515671029157316, 2.2685495980806887, 2.2832305916132585, 2.2957801829288877, 2.306093593561795, 2.3127299778009975, 2.3165308111914857, 2.3176755957259, 2.3159819927402356, 2.310545364590571)","(0.6424063007814262, 0.6337246541634047, 0.6231421642985023, 0.6108601726286533, 0.5982270181115474, 0.5859057228236382, 0.5750115430609908, 0.5645490199078147, 0.55494655424855, 0.5457936616427277, 0.5376267294340488, 0.530684355577098, 0.5248939586904879, 0.5214763762822454, 0.5190167812337753, 0.518016276609246, 0.5180226585241721, 0.5185875867501611, 0.519103626862645, 0.5155950011272717, 0.5124724662814851, 0.5103585388727878, 0.5095512425936494, 0.5097912576571799, 0.5111633704931976, 0.5142851858668989, 0.5190700551498185, 0.5246809285778209, 0.5301270611803652, 0.5350301054729222, 0.5397915121536595, 0.5427278700538726, 0.5458643715516144, 0.5487097763068937, 0.5514129342500336, 0.5541396850207433, 0.5576868522440053, 0.5630673526529825, 0.5717882029479915, 0.5817774428169524, 0.5935361046679797, 0.6054841999389834, 0.6171528013655616, 0.6271493409795752, 0.6337129237280981, 0.6383431762476666, 0.6398092860325302, 0.639465473574558, 0.6372509008615035, 0.6336762775051893)","(0.5671474046880242, 0.5560965270482245, 0.5431598092934768, 0.5292849095204869, 0.5153911233812911, 0.5016794037343425, 0.4882520109582106, 0.47569386123613727, 0.46333537139632364, 0.45123849904501256, 0.4396397522606268, 0.4286917086610399, 0.4181757808166211, 0.40838931705304216, 0.3998446326658175, 0.3928119489395819, 0.38671616130157876, 0.38142596951799607, 0.37651680305491747, 0.3718309217155375, 0.3676217961840159, 0.3661832091498034, 0.3671897725764345, 0.3684012216547924, 0.37023089407799914, 0.3727182481495309, 0.37606436659529835, 0.3806878264325247, 0.38643363470041125, 0.3927185113245179, 0.39952303539578277, 0.4068024421510248, 0.41509341522262777, 0.4237364335094215, 0.43288664847997105, 0.44206173744693233, 0.4519611241182182, 0.46196723999229355, 0.47310980208786607, 0.48515084216066917, 0.4966807708641971, 0.5069948918739253, 0.5166499584066833, 0.5253894714101176, 0.5323223635673078, 0.5367938403569623, 0.5396029541123143, 0.5403749282505066, 0.5391814148110615, 0.5357783193348507)","(3.0000399236292776, 3.002254787916355, 3.004403619526939, 3.0065025278422937, 3.0089614588016578, 3.012003853187084, 3.01492471401957, 3.0181532481428173, 3.021321577395798, 3.024565662883541, 3.028398121593282, 3.031835547597, 3.035223619277357, 3.0386478059252693, 3.0419563433768197, 3.043857981333892, 3.045398890005883, 3.046363074706661, 3.046862099760563, 3.047145776979563, 3.046694813207784, 3.0465274324003255, 3.0467548702074376, 3.0472295427931617, 3.047761562060215, 3.048306130642751, 3.048568350615996, 3.048146486258856, 3.047602105601657, 3.046825987220618, 3.0459776122414683, 3.0453077934896187, 3.043555454230184, 3.041106045275854, 3.0383102475005956, 3.0357948159557084, 3.0334395275764265, 3.0315416020469237, 3.0293487446806604, 3.027455214240187, 3.025944484070364, 3.025500917117552, 3.0255539367520337, 3.025907257896006, 3.0267005718648914, 3.027346953436338, 3.028775369364831, 3.0307561905618954, 3.0329186907545354, 3.0346370909946274)","(2.967470088077738, 2.9718537287978717, 2.9753943516100203, 2.9784349656321396, 2.9824360396400573, 2.987521542560654, 2.9929989215633226, 2.99814979497835, 3.003227595687612, 3.007841561983869, 3.012367384216635, 3.0152922915021123, 3.0174778866243908, 3.0190376250809514, 3.0198563194480132, 3.020493027862765, 3.0208048410462904, 3.021601149461984, 3.02249516552084, 3.0242273754103026, 3.02534056433676, 3.0247546364710276, 3.0242173802596235, 3.023928522443205, 3.0223887565044127, 3.021094379898558, 3.0209004503987797, 3.020596453633131, 3.020278180725976, 3.019236633368097, 3.018295305307048, 3.0170449857862582, 3.01566099455086, 3.0141371888936246, 3.0124401183338856, 3.011142950063094, 3.00955954060945, 3.0080477896423137, 3.0056045880282545, 3.0036358325603136, 3.0009181352746324, 2.9977319657225445, 2.995271451180094, 2.9938494447365267, 2.992652645963698, 2.9903449403192406, 2.9891153056280197, 2.98956061040736, 2.99053073386969, 2.9916089811340636)","(2.583860502945637, 2.5883870119822023, 2.593121431347439, 2.5980026095177835, 2.602138357891789, 2.605783038503635, 2.6091204619743107, 2.611556795656008, 2.613492470593428, 2.6143959511563915, 2.6148089163837924, 2.614617979835776, 2.613559529556149, 2.612180785493008, 2.610170285732422, 2.6078731070850427, 2.6048868515762864, 2.6011036076103475, 2.597102828465274, 2.5928194791154837, 2.5880787320907794, 2.5828880073122993, 2.5774962977009577, 2.5722690133189103, 2.5683254339012493, 2.565918873658765, 2.5632694932803965, 2.561356074634182, 2.5604744324852375, 2.560288814859183, 2.5610030997554634, 2.561225717394446, 2.5608438285532635, 2.5600897734871406, 2.5593654657182814, 2.5589343782383085, 2.5590825963128556, 2.559873862042231, 2.5602843824211465, 2.5612415005061018, 2.5625135884866315, 2.5642348573706895, 2.5656652086693392, 2.566513987189137, 2.567990280439484, 2.5699415963748278, 2.572419592957908, 2.57551379275987, 2.578009669656265, 2.579773558977385)","(2.536072276335822, 2.537587414527009, 2.5394424604510824, 2.5428485469885582, 2.544022614237934, 2.54406780124501, 2.543020319607521, 2.5420514714381035, 2.5408425739560276, 2.539476663810258, 2.538279248510313, 2.5359602802253507, 2.533161619195906, 2.5301052935647443, 2.526528539479262, 2.5225037831149675, 2.518440670750237, 2.515368512273358, 2.512740492920548, 2.51016847125818, 2.5074066457364386, 2.5040702317325, 2.5009614987485467, 2.498839048371674, 2.4988650684878335, 2.4992032602044714, 2.4991306553636936, 2.4994354225974154, 2.5002310308714635, 2.5002771114051874, 2.50076386204514, 2.5005563731621283, 2.5005891984042594, 2.5004603472034868, 2.500906019377253, 2.5017972756214664, 2.5030508842185752, 2.503758036629545, 2.5048785635821242, 2.506552043119572, 2.5076966513178554, 2.507267307070145, 2.506355053796571, 2.5047671407563965, 2.5023545495246817, 2.500257453962979, 2.4990137756456776, 2.4990075789982886, 2.499092999289287, 2.498230652278192)"
2,Push-up,"(2.063884856395888, 2.0354530327608487, 2.006127428708187, 1.9763281108892115, 1.9479513335274787, 1.9200356491678054, 1.893339983077389, 1.8678215332533736, 1.8448492176349018, 1.8277394024308644, 1.8147899228723763, 1.8066197810189755, 1.804212425476497, 1.8056600909507923, 1.8119214114925184, 1.8234957812126211, 1.8387157512027152, 1.8578406354116606, 1.8784673987065634, 1.9005419650800348, 1.924604660373855, 1.951543927430094, 1.9797027792788533, 2.0090921178510532, 2.0390586476798855, 2.0694816706854384, 2.0990090900872684, 2.127022672813747, 2.1524825960532015, 2.17576350959464, 2.196518269696573, 2.215849937703589, 2.23518364313333, 2.2513852939261727, 2.263408994850963, 2.271769813065628, 2.275549993034918, 2.2764221226624053, 2.2735994435228886, 2.267990722443477, 2.257877285615128, 2.245442900081305, 2.2293904654884398, 2.2102159593778588, 2.1878347984686246, 2.1636330524721537, 2.138334981671726, 2.1122304838512846, 2.08541356384345, 2.0573069251666287)","(2.092745004236472, 2.068884443215152, 2.045292001990078, 2.0227481564834258, 2.001521967782666, 1.9816573316322366, 1.9631220714893423, 1.9463021018823818, 1.9312189110427984, 1.9205568007391363, 1.9136652926650615, 1.9119771196517004, 1.913637696219432, 1.9174735285903508, 1.9234151430867934, 1.9316953644234534, 1.9434445851957958, 1.956970021041506, 1.9725133447441647, 1.9897962272367142, 2.0095167716666467, 2.031401925069372, 2.0553506938665973, 2.0811059396909486, 2.1076042334715215, 2.1343967817168443, 2.1608581978928214, 2.1869500674551774, 2.2104825978856963, 2.232267353025295, 2.2515671029157316, 2.2685495980806887, 2.2832305916132585, 2.2957801829288877, 2.306093593561795, 2.3127299778009975, 2.3165308111914857, 2.3176755957259, 2.3159819927402356, 2.310545364590571, 2.3004871885697784, 2.286485276265258, 2.2685239196166136, 2.248682290879049, 2.2271980567485565, 2.2042845309180117, 2.1802625736471875, 2.1560278304772105, 2.131897853520575, 2.107455933637756)","(0.5376267294340488, 0.530684355577098, 0.5248939586904879, 0.5214763762822454, 0.5190167812337753, 0.518016276609246, 0.5180226585241721, 0.5185875867501611, 0.519103626862645, 0.5155950011272717, 0.5124724662814851, 0.5103585388727878, 0.5095512425936494, 0.5097912576571799, 0.5111633704931976, 0.5142851858668989, 0.5190700551498185, 0.5246809285778209, 0.5301270611803652, 0.5350301054729222, 0.5397915121536595, 0.5427278700538726, 0.5458643715516144, 0.5487097763068937, 0.5514129342500336, 0.5541396850207433, 0.5576868522440053, 0.5630673526529825, 0.5717882029479915, 0.5817774428169524, 0.5935361046679797, 0.6054841999389834, 0.6171528013655616, 0.6271493409795752, 0.6337129237280981, 0.6383431762476666, 0.6398092860325302, 0.639465473574558, 0.6372509008615035, 0.6336762775051893, 0.6274559394168026, 0.6202362822469231, 0.6105281154211223, 0.5989476490870522, 0.5890715882100331, 0.5797161843622259, 0.570976464996981, 0.5628780642850226, 0.554754008498928, 0.5473103175776404)","(0.4396397522606268, 0.4286917086610399, 0.4181757808166211, 0.40838931705304216, 0.3998446326658175, 0.3928119489395819, 0.38671616130157876, 0.38142596951799607, 0.37651680305491747, 0.3718309217155375, 0.3676217961840159, 0.3661832091498034, 0.3671897725764345, 0.3684012216547924, 0.37023089407799914, 0.3727182481495309, 0.37606436659529835, 0.3806878264325247, 0.38643363470041125, 0.3927185113245179, 0.39952303539578277, 0.4068024421510248, 0.41509341522262777, 0.4237364335094215, 0.43288664847997105, 0.44206173744693233, 0.4519611241182182, 0.46196723999229355, 0.47310980208786607, 0.48515084216066917, 0.4966807708641971, 0.5069948918739253, 0.5166499584066833, 0.5253894714101176, 0.5323223635673078, 0.5367938403569623, 0.5396029541123143, 0.5403749282505066, 0.5391814148110615, 0.5357783193348507, 0.5293936513770573, 0.5202028003328062, 0.5090273874859658, 0.4978958901624163, 0.48621522945990625, 0.4745834652014169, 0.4633455645021729, 0.45244522896350337, 0.44139190310232457, 0.4304238852838596)","(3.028398121593282, 3.031835547597, 3.035223619277357, 3.0386478059252693, 3.0419563433768197, 3.043857981333892, 3.045398890005883, 3.046363074706661, 3.046862099760563, 3.047145776979563, 3.046694813207784, 3.0465274324003255, 3.0467548702074376, 3.0472295427931617, 3.047761562060215, 3.048306130642751, 3.048568350615996, 3.048146486258856, 3.047602105601657, 3.046825987220618, 3.0459776122414683, 3.0453077934896187, 3.043555454230184, 3.041106045275854, 3.0383102475005956, 3.0357948159557084, 3.0334395275764265, 3.0315416020469237, 3.0293487446806604, 3.027455214240187, 3.025944484070364, 3.025500917117552, 3.0255539367520337, 3.025907257896006, 3.0267005718648914, 3.027346953436338, 3.028775369364831, 3.0307561905618954, 3.0329186907545354, 3.0346370909946274, 3.036022625700642, 3.036482423475362, 3.036669154859834, 3.0364586719911, 3.0367989514294154, 3.039021547061143, 3.041517023522114, 3.0439392205286095, 3.0460305643916747, 3.0480722269095097)","(3.012367384216635, 3.0152922915021123, 3.0174778866243908, 3.0190376250809514, 3.0198563194480132, 3.020493027862765, 3.0208048410462904, 3.021601149461984, 3.02249516552084, 3.0242273754103026, 3.02534056433676, 3.0247546364710276, 3.0242173802596235, 3.023928522443205, 3.0223887565044127, 3.021094379898558, 3.0209004503987797, 3.020596453633131, 3.020278180725976, 3.019236633368097, 3.018295305307048, 3.0170449857862582, 3.01566099455086, 3.0141371888936246, 3.0124401183338856, 3.011142950063094, 3.00955954060945, 3.0080477896423137, 3.0056045880282545, 3.0036358325603136, 3.0009181352746324, 2.9977319657225445, 2.995271451180094, 2.9938494447365267, 2.992652645963698, 2.9903449403192406, 2.9891153056280197, 2.98956061040736, 2.99053073386969, 2.9916089811340636, 2.9936201273950496, 2.995523874058055, 2.9955378116619213, 2.996357784618669, 2.998408376801871, 3.002241851150851, 3.005665799583833, 3.0094718980285133, 3.0132001082923403, 3.016484879084164)","(2.6148089163837924, 2.614617979835776, 2.613559529556149, 2.612180785493008, 2.610170285732422, 2.6078731070850427, 2.6048868515762864, 2.6011036076103475, 2.597102828465274, 2.5928194791154837, 2.5880787320907794, 2.5828880073122993, 2.5774962977009577, 2.5722690133189103, 2.5683254339012493, 2.565918873658765, 2.5632694932803965, 2.561356074634182, 2.5604744324852375, 2.560288814859183, 2.5610030997554634, 2.561225717394446, 2.5608438285532635, 2.5600897734871406, 2.5593654657182814, 2.5589343782383085, 2.5590825963128556, 2.559873862042231, 2.5602843824211465, 2.5612415005061018, 2.5625135884866315, 2.5642348573706895, 2.5656652086693392, 2.566513987189137, 2.567990280439484, 2.5699415963748278, 2.572419592957908, 2.57551379275987, 2.578009669656265, 2.579773558977385, 2.5815316324287423, 2.5834574852320786, 2.585698003171159, 2.588544005511369, 2.5913295914878285, 2.594180506965252, 2.595540238357118, 2.596820831896445, 2.5975688467694584, 2.598590194033079)","(2.538279248510313, 2.5359602802253507, 2.533161619195906, 2.5301052935647443, 2.526528539479262, 2.5225037831149675, 2.518440670750237, 2.515368512273358, 2.512740492920548, 2.51016847125818, 2.5074066457364386, 2.5040702317325, 2.5009614987485467, 2.498839048371674, 2.4988650684878335, 2.4992032602044714, 2.4991306553636936, 2.4994354225974154, 2.5002310308714635, 2.5002771114051874, 2.50076386204514, 2.5005563731621283, 2.5005891984042594, 2.5004603472034868, 2.500906019377253, 2.5017972756214664, 2.5030508842185752, 2.503758036629545, 2.5048785635821242, 2.506552043119572, 2.5076966513178554, 2.507267307070145, 2.506355053796571, 2.5047671407563965, 2.5023545495246817, 2.500257453962979, 2.4990137756456776, 2.4990075789982886, 2.499092999289287, 2.498230652278192, 2.4982037771600636, 2.4992492145103533, 2.5019836540092215, 2.5043154933196154, 2.506019910667884, 2.507205581294437, 2.5081351056623618, 2.508884203832575, 2.5097286482581698, 2.5102251590944973)"
